ap_id:001; simio_id:001; distance:4.43668733098e-09; dateTime:2018-11-25 18:47:55; RSSI:224.
ap_id:001; simio_id:001; distance:4.43668733098e-09; dateTime:2018-11-25 18:47:56; RSSI:224.
ap_id:001; simio_id:224; distance:0.0171907220186; dateTime:2018-11-23 07:00:55; RSSI:000.
ap_id:001; simio_id:001; distance:4.43668733098e-09; dateTime:2018-11-25 18:47:55; RSSI:224.
ap_id:001; simio_id:001; distance:4.1461695598e-09; dateTime:2018-11-25 18:47:56; RSSI:225.
ap_id:001; simio_id:001; distance:5.43618362015e-09; dateTime:2018-11-25 18:47:56; RSSI:221.
ap_id:001; simio_id:001; distance:7.12756483444e-09; dateTime:2018-11-25 18:47:56; RSSI:217.
ap_id:001; simio_id:001; distance:5.81709132937e-09; dateTime:2018-11-25 18:47:56; RSSI:220.
ap_id:001; simio_id:001; distance:1.14504756994e-08; dateTime:2018-11-25 18:47:57; RSSI:210.
ap_id:001; simio_id:001; distance:1.71907220186e-08; dateTime:2018-11-25 18:47:57; RSSI:204.
ap_id:001; simio_id:001; distance:1.96841944729e-08; dateTime:2018-11-25 18:47:58; RSSI:202.
ap_id:001; simio_id:001; distance:1.8395257958e-08; dateTime:2018-11-25 18:47:58; RSSI:203.
ap_id:001; simio_id:001; distance:5.81709132937e-09; dateTime:2018-11-25 18:47:59; RSSI:220.
ap_id:001; simio_id:001; distance:6.224688844e-09; dateTime:2018-11-25 18:47:59; RSSI:219.
ap_id:001; simio_id:001; distance:4.1461695598e-09; dateTime:2018-11-25 18:47:59; RSSI:225.
ap_id:001; simio_id:001; distance:4.747561379e-09; dateTime:2018-11-25 18:47:59; RSSI:223.
ap_id:001; simio_id:229; distance:0.0171907220186; dateTime:2018-11-23 07:00:54; RSSI:000.
ap_id:001; simio_id:001; distance:4.1461695598e-09; dateTime:2018-11-25 18:47:57; RSSI:225.
ap_id:001; simio_id:001; distance:7.12756483444e-09; dateTime:2018-11-25 18:47:58; RSSI:217.
ap_id:001; simio_id:001; distance:4.43668733098e-09; dateTime:2018-11-25 18:47:58; RSSI:224.
ap_id:001; simio_id:001; distance:8.73326162383e-09; dateTime:2018-11-25 18:47:59; RSSI:214.
ap_id:001; simio_id:001; distance:1.07006895569e-08; dateTime:2018-11-25 18:47:59; RSSI:211.
ap_id:001; simio_id:001; distance:1.31113393742e-08; dateTime:2018-11-25 18:47:59; RSSI:208.
ap_id:001; simio_id:001; distance:1.31113393742e-08; dateTime:2018-11-25 18:47:59; RSSI:208.
ap_id:001; simio_id:001; distance:3.87467512046e-09; dateTime:2018-11-25 18:51:38; RSSI:226.
ap_id:001; simio_id:001; distance:3.87467512046e-09; dateTime:2018-11-25 18:51:38; RSSI:226.
ap_id:001; simio_id:001; distance:4.1461695598e-09; dateTime:2018-11-25 18:51:38; RSSI:225.
