timestamp1;idAP;idSimio1;dist1;

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 04:50:27; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 04:50:27; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 08:27:07; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 06:13:47; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 07:03:47; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 04:00:27; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 07:53:47; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 11:47:07; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 05:40:27; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 06:47:07; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 09:00:27; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 09:00:27; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 10:57:07; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 06:30:27; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 11:47:07; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 08:43:47; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 08:27:07; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 07:03:46; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 07:53:54; RSSI:001.

ap_id:001; simio_id:001; distance:0.0160650600385; dateTime:2018-11-25 09:17:14; RSSI:001.

ap_id:001; simio_id:001; distance:0.0160650600385; dateTime:2018-11-25 11:30:34; RSSI:001.

ap_id:001; simio_id:001; distance:0.0160650600385; dateTime:2018-11-25 06:30:34; RSSI:001.

ap_id:001; simio_id:001; distance:0.0160650600385; dateTime:2018-11-25 07:03:54; RSSI:001.

ap_id:001; simio_id:001; distance:0.0160650600385; dateTime:2018-11-25 07:03:54; RSSI:001.

ap_id:001; simio_id:001; distance:4.747561379e-08; dateTime:2018-11-27 10:40:18; RSSI:189.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 07:03:54; RSSI:001.

ap_id:001; simio_id:004; distance:0.0160650600385; dateTime:2018-11-25 07:20:34; RSSI:001.

ap_id:001; simio_id:004; distance:0.0160650600385; dateTime:2018-11-25 05:23:54; RSSI:001.

ap_id:001; simio_id:004; distance:0.0160650600385; dateTime:2018-11-25 05:07:14; RSSI:001.

ap_id:001; simio_id:004; distance:0.0160650600385; dateTime:2018-11-25 06:13:54; RSSI:001.

ap_id:001; simio_id:004; distance:0.0160650600385; dateTime:2018-11-25 08:10:34; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 07:53:54; RSSI:001.

ap_id:001; simio_id:000; distance:0.0160650600385; dateTime:2018-11-25 06:39:24; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 08:52:44; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 12:29:24; RSSI:001.

ap_id:001; simio_id:003; distance:0.0160650600385; dateTime:2018-11-25 09:59:24; RSSI:001.

ap_id:001; simio_id:002; distance:0.0160650600385; dateTime:2018-11-25 08:52:44; RSSI:001.

